Aruba,4639,43,4497,0.009,0.969
Guyana,4530,135,3575,0.030,0.789
Somalia[ap],4301,107,3196,0.025,0.743
Belize,4176,70,2364,0.017,0.566
Thailand,3852,60,3693,0.016,0.959
Mali,3712,137,2832,0.037,0.763
The Gambia,3684,121,3533,0.033,0.959
Uruguay[aq],3620,62,3034,0.017,0.838
South Sudan,2960,59,1290,0.020,0.436
Benin,2781,43,2515,0.015,0.904
Burkina Faso,2581,67,2382,0.026,0.923
Abkhazia[ar],2579,27,1167,0.010,0.453
Togo,2523,57,1736,0.023,0.688
Guinea-Bissau,2419,43,2255,0.018,0.932
Sierra Leone,2387,74,1816,0.031,0.761
Yemen,2071,605,1394,0.292,0.673
Lesotho,1967,44,1024,0.022,0.521
Luhansk PR[ag],1643,109,1254,0.066,0.763
New Zealand,1635,25,1557,0.015,0.952
Chad,1551,99,1394,0.064,0.899
Liberia,1452,82,1311,0.056,0.903
U.S. Virgin Islands,1405,23,1345,0.016,0.957
Niger,1246,69,1144,0.055,0.918
Vietnam,1226,35,1087,0.029,0.887
Curaçao,1215,2,899,0.002,0.740
Somaliland[as],1188,37,972,0.031,0.818
San Marino,1114,42,789,0.038,0.708
USS Theodore Roosevelt[an],1102,1,751,0.001,0.681
Charles de Gaulle[at],1081,0,0,0.000,0.000
Northern Cyprus[au],976,5,916,0.005,0.939
São Tomé and Príncipe,962,16,912,0.017,0.948
Sint Maarten,910,23,817,0.025,0.898
Gibraltar,814,0,702,0.000,0.862
Liechtenstein,801,4,565,0.005,0.705
Turks and Caicos Islands,716,6,695,0.008,0.971
Diamond Princess[v],712,14,653,0.020,0.917
Jersey,672,32,534,0.048,0.795
Papua New Guinea,599,7,585,0.012,0.977
Taiwan[av],597,7,532,0.012,0.891
Burundi,589,1,511,0.002,0.868
Comoros,563,7,532,0.012,0.945
Faroe Islands,497,0,494,0.000,0.994
Eritrea,491,0,438,0.000,0.892
Monaco,490,2,369,0.004,0.753
Mauritius,453,10,416,0.022,0.918
Artsakh[aw],404,2,337,0.005,0.834
Mongolia,368,0,31,0.000,0.084
Bhutan,364,0,345,0.000,0.948
Isle of Man[ax],359,25,324,0.070,0.903
Cambodia,301,0,288,0.000,0.957
Guernsey,282,13,253,0.046,0.897
Cayman Islands,250,1,236,0.004,0.944
Barbados,249,7,233,0.028,0.936
Bermuda,214,9,182,0.042,0.850
Seychelles,153,0,149,0.000,0.974
Costa Atlantica,148,0,148,0.000,1.000
Brunei,148,3,143,0.020,0.966
Saint Lucia,148,2,32,0.014,0.216
Bonaire,134,3,126,0.022,0.940
Greg Mortimer[aq],128,1,,0.008,
Antigua and Barbuda,128,3,117,0.023,0.914
Northern Mariana Islands,100,2,19,0.020,0.190
South Ossetia[ay],90,0,90,0.000,1.000
Saint Vincent[az],77,0,74,0.000,0.961
British Virgin Islands,71,1,70,0.014,0.986
Dominica,68,0,41,0.000,0.603
Macau,46,0,46,0.000,1.000
Fiji,35,2,32,0.057,0.914
East Timor,30,0,29,0.000,0.967
Sahrawi Arab DR[ba],28,2,26,0.071,0.929
Grenada,28,0,24,0.000,0.857
New Caledonia,28,0,28,0.000,1.000
Vatican City,27,0,15,0.000,0.556
Laos,24,0,23,0.000,0.958
Saint Kitts and Nevis,19,0,19,0.000,1.000
Greenland,17,0,17,0.000,1.000
Saint Pierre and Miquelon,16,0,12,0.000,0.750
Sint Eustatius,14,0,4,0.000,0.286
Falkland Islands,13,0,13,0.000,1.000
Montserrat,13,1,12,0.077,0.923
MS Zaandam[bb],13,4,,0.308,
Solomon Islands,13,0,4,0.000,0.308
Coral Princess[bc],12,3,,0.250,
HNLMS Dolfijn[bd],8,0,8,0.000,1.000
Saba,5,0,5,0.000,1.000
Anguilla,3,0,3,0.000,1.000
Marshall Islands,2,0,2,0.000,1.000
Wallis and Futuna,1,0,1,0.000,1.000
Vanuatu,1,0,0,0.000,0.000
Tanzania[be],,,
